Sequence_Length,Status,Latency_ms,Peak_Memory_GB,GPU_UUID
512,SUCCESS,0.24780799448490143,0.0294189453125,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2
1024,SUCCESS,0.3491840064525604,0.0802001953125,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2
2048,SUCCESS,1.043455958366394,0.2755126953125,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2
4096,SUCCESS,3.8348801136016846,1.0411376953125,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2
8192,SUCCESS,16.260095596313477,4.0723876953125,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2
16384,SUCCESS,42.013694763183594,16.1348876953125,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2
18432,SUCCESS,57.28255844116211,20.4005126953125,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2
20480,SUCCESS,62.32883071899414,25.1661376953125,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2
22528,SUCCESS,75.51590728759766,30.4317626953125,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2
24576,SUCCESS,93.68370819091797,36.1973876953125,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2
25600,OOM,,,GPU-f5e42ed3-9b0a-7003-62dd-4fb887642ee2
